payment_id,subscription_id,paid_at,amount,list_price,promo_code,is_renewal,payment_method
P0001,S001,2025-09-05,19900,19900,,false,card
P0002,S002,2025-08-03,17900,17900,,true,card
P0003,S002,2025-09-03,19900,19900,,true,card
P0004,S003,2025-08-20,199000,199000,,false,card
P0005,S004,2025-06-20,179000,179000,,false,card
P0006,S005,2025-07-15,745000,745000,,false,transfer
P0007,S006,2025-09-04,4950,9900,WELCOME50,false,card
P0008,S007,2025-09-02,19900,19900,,false,card
P0009,S008,2025-09-02,4900,4900,,false,card
P0010,S009,2025-08-03,4900,4900,,true,card
P0011,S009,2025-09-03,9900,9900,,true,card
P0012,S010,2025-04-10,143200,179000,SPRING20,false,card
P0013,S011,2025-07-25,51600,51600,,true,card
P0014,S011,2025-08-25,59600,59600,,true,card
P0015,S012,2025-03-01,179000,179000,,false,card
P0016,S013,2025-08-10,19900,19900,,true,card
P0017,S014,2025-08-25,9900,9900,,true,card
