taxpayer_id,display_name,business_start_date,registration_date,first_supply_date,bookkeeping_duty,note
T001,납세자A,2019-03-02,2019-03-02,2019-03-05,false,소매점 1곳
T002,납세자B,2018-05-10,2018-05-10,2018-05-12,false,음식점 1곳
T003,납세자C,2020-01-15,2020-01-15,2020-01-20,false,공급가액 기준으로 매출을 말하는 사업자
T004,납세자D,2017-09-01,2017-09-01,2017-09-01,false,상가 임대 1건
T005,납세자E,2019-11-20,2019-11-20,2019-11-25,false,임대 + 카페 겸업 (사업장 구분 미확인)
T006,납세자F,2024-10-15,2024-10-15,2024-10-15,false,2024년 신규 개업
T007,납세자G,2016-04-01,2016-04-01,2016-04-03,false,사업장 2곳
T008,납세자H,2024-02-01,2024-02-01,2024-02-10,false,도매업 신규
T009,납세자I,2018-08-08,2018-08-08,2018-08-08,false,한 사업장에서 카페 + 임대 겸영
T010,납세자J,2024-12-20,2024-12-20,2025-01-10,false,등록일과 첫 공급일이 다른 해
