
===== config5_graph_r3 =====
O Q01 [-]   8.1s
O Q02 [K]   4.6s
O Q03 [M]   5.1s
O Q04 [M]   7.2s
O Q05 [-]   7.7s
O Q06 [K]   5.2s
O Q07 [-]   4.6s
O Q08 [K]   4.4s
X Q09 [M]   8.4s  누락=['준용'] 금지=[] 숫자=OK
O Q10 [K]   8.7s
O Q11 [D]   5.0s
O Q12 [D]   5.1s
O Q13 [D]   7.7s
O Q14 [K]   7.5s
O Q15 [K]   7.0s
O Q16 [D]   6.9s
O Q17 [D]   5.3s
O Q18 [K]   4.9s
O Q19 [K]   4.9s
O Q20 [M]   4.9s
O Q21 [K]   7.3s
O Q22 [K]   6.9s
O Q23 [D]   4.7s
O Q24 [D]   4.4s
O Q25 [D]   4.4s
O Q26 [D]   4.6s
O Q27 [D]   5.0s
O Q28 [K]   5.2s
O Q29 [D]   5.6s
X Q30 [R]   9.9s  누락=['운영 매뉴얼'] 금지=[] 숫자=OK

유형별 정답률
  기준선 (-)  3/ 3
  검색  (R)  0/ 1
  데이터 (D) 11/11
  의미  (M)  3/ 4
  규칙  (K) 11/11
  전체        28/30
토큰 75,744 / 소요 181.2s / LLM 호출 60회
결과 저장: D:\WORK_agent\ontology_wikidocs\ontology-tutorial\results\config5_graph_r3.jsonl

| 질문 | 유형 | config5_graph |
|---|---|---|
| Q01 | - | O |
| Q02 | K | O |
| Q03 | M | O |
| Q04 | M | O |
| Q05 | - | O |
| Q06 | K | O |
| Q07 | - | O |
| Q08 | K | O |
| Q09 | M | O |
| Q10 | K | O |
| Q11 | D | O |
| Q12 | D | O |
| Q13 | D | O |
| Q14 | K | X |
| Q15 | K | O |
| Q16 | D | O |
| Q17 | D | O |
| Q18 | K | O |
| Q19 | K | X |
| Q20 | M | O |
| Q21 | K | O |
| Q22 | K | O |
| Q23 | D | O |
| Q24 | D | O |
| Q25 | D | O |
| Q26 | D | O |
| Q27 | D | O |
| Q28 | K | O |
| Q29 | D | O |
| Q30 | R | X |
| **정답 수** | | 27/30 |

| 질문 | 유형 | config5_graph |
|---|---|---|
| Q01 | - | 3/3 |
| Q02 | K | 3/3 |
| Q03 | M | 3/3 |
| Q04 | M | 3/3 |
| Q05 | - | 3/3 |
| Q06 | K | 3/3 |
| Q07 | - | 3/3 |
| Q08 | K | 3/3 |
| Q09 | M | 1/3 |
| Q10 | K | 3/3 |
| Q11 | D | 3/3 |
| Q12 | D | 3/3 |
| Q13 | D | 2/3 |
| Q14 | K | 2/3 |
| Q15 | K | 3/3 |
| Q16 | D | 3/3 |
| Q17 | D | 3/3 |
| Q18 | K | 3/3 |
| Q19 | K | 2/3 |
| Q20 | M | 3/3 |
| Q21 | K | 3/3 |
| Q22 | K | 3/3 |
| Q23 | D | 3/3 |
| Q24 | D | 3/3 |
| Q25 | D | 3/3 |
| Q26 | D | 3/3 |
| Q27 | D | 3/3 |
| Q28 | K | 3/3 |
| Q29 | D | 3/3 |
| Q30 | R | 1/3 |
| **집계** | | 안정 25 / 불안정 5 / 평균 27.7 |
